Date,AQI,PM10,O3,NO2,SO2,CO
2020/7/2,151,113,18,18,1,4
2020/7/3,149,79,15,12,1,7
2020/7/4,120,53,12,8,2,10
2020/7/5,75,79,12,12,2,10
2020/7/6,125,46,7,9,3,5
2020/7/7,66,41,9,9,1,4
2020/7/8,67,66,14,11,2,6
2020/7/9,107,60,12,8,2,4
2020/7/10,84,50,19,9,1,5
2020/7/11,68,55,12,8,4,7
2020/7/12,80,85,18,9,5,8
2020/7/13,105,113,17,9,3,10
2020/7/14,124,83,15,10,5,6
2020/7/15,115,64,12,10,6,8
2020/7/16,99,78,14,14,3,8
2020/7/17,125,65,10,9,4,5
2020/7/18,96,40,12,10,4,14
2020/7/19,63,41,16,11,1,3
2020/7/20,55,44,14,14,2,4
2020/7/21,70,51,15,11,2,5
2020/7/22,81,60,18,11,2,5
2020/7/23,94,73,15,13,2,5
2020/7/24,131,58,16,9,2,6
2020/7/25,87,71,15,13,2,8
2020/7/26,116,76,14,11,1,7
2020/7/27,103,65,9,10,1,7
2020/7/28,74,70,7,16,1,6
2020/7/29,75,48,7,13,1,6
2020/7/30,67,66,18,14,2,8
2020/7/31,100,49,8,11,2,6
2020/8/1,80,41,6,7,2,6
2020/8/2,70,52,12,8,1,5
2020/8/3,83,65,12,10,1,5
2020/8/4,74,76,11,13,1,7
2020/8/5,106,61,10,10,1,5
2020/8/6,75,58,7,12,1,6
2020/8/7,79,68,7,10,1,7
2020/8/8,113,45,8,7,1,6
2020/8/9,84,57,9,12,1,7
2020/8/10,98,64,8,11,1,8
2020/8/11,105,48,9,6,1,6
2020/8/12,64,35,8,9,1,14
2020/8/13,53,47,4,8,1,2
2020/8/14,64,58,6,10,1,2
2020/8/15,94,56,6,12,1,5
2020/8/16,82,60,5,14,1,4
2020/8/17,90,66,5,13,1,5
2020/8/18,103,41,4,14,1,3
2020/8/19,61,34,3,13,1,2
2020/8/20,52,43,4,10,1,4
2020/8/21,53,50,6,7,1,4
2020/8/22,46,46,9,7,1,9
2020/8/23,58,48,6,13,1,14
2020/8/24,60,59,7,15,1,4
2020/8/25,78,46,6,10,1,3
2020/8/26,55,61,6,9,1,6
2020/8/27,82,62,5,11,3,2
2020/8/28,88,63,6,13,3,2
2020/8/29,91,53,5,8,3,6
2020/8/30,70,41,8,14,2,2
2020/8/31,56,61,5,17,3,7
2020/9/1,77,63,5,12,2,2
2020/9/2,86,87,5,16,6,3
2020/9/3,121,92,4,19,3,4
2020/9/4,140,81,5,13,3,3
2020/9/5,132,55,4,9,2,4
2020/9/6,88,67,5,11,3,4
2020/9/7,101,62,7,9,3,5
2020/9/8,90,81,7,11,5,7
2020/9/9,131,82,11,12,6,11
2020/9/10,128,113,11,14,5,10
2020/9/11,137,116,7,14,5,9
2020/9/12,147,114,8,13,1,8
2020/9/13,156,112,7,14,2,9
2020/9/14,155,106,8,13,1,8
2020/9/15,154,113,7,14,2,8
2020/9/16,152,88,6,10,1,7
2020/9/17,130,93,7,10,1,10
2020/9/18,124,102,7,13,1,5
2020/9/19,145,113,7,11,1,5
2020/9/20,153,104,6,10,1,4
2020/9/21,150,98,7,15,3,7
2020/9/22,123,83,6,16,2,3
2020/9/23,91,85,6,15,2,9
2020/9/24,115,107,5,16,2,8
2020/9/25,146,119,4,17,5,6
2020/9/26,151,87,6,12,4,4
2020/9/27,101,131,6,14,3,8
2020/9/28,151,141,6,13,3,10
2020/9/29,160,115,5,12,3,5
2020/9/30,142,129,6,15,3,7
2020/10/1,150,127,7,13,4,6
2020/10/2,165,144,7,15,4,3
2020/10/3,164,145,8,16,6,5
2020/10/4,165,134,8,16,6,3
2020/10/5,154,150,9,20,7,9
2020/10/6,164,178,10,21,7,9
2020/10/7,183,162,11,18,5,3
2020/10/8,173,194,47,17,6,7
2020/10/9,174,183,34,17,9,10
2020/10/10,184,199,44,17,6,6
2020/10/11,183,224,42,26,8,12
2020/10/12,198,253,51,29,6,12
2020/10/13,210,255,39,26,8,12
2020/10/14,202,226,38,22,7,9
2020/10/15,195,204,37,28,5,10
2020/10/16,193,205,47,25,7,9
2020/10/17,197,149,43,17,6,8
2020/10/18,171,180,47,19,7,8
2020/10/19,180,193,46,25,7,10
2020/10/20,184,268,52,34,7,8
2020/10/21,213,379,58,38,5,7
2020/10/22,255,361,69,35,3,15
2020/10/23,290,310,54,31,3,10
2020/10/24,289,309,83,31,2,8
2020/10/25,291,283,43,29,3,9
2020/10/26,253,205,39,21,2,9
2020/10/27,238,244,50,30,3,14
2020/10/28,259,416,63,45,4,22
2020/10/29,346,277,46,27,2,13
2020/10/30,292,357,43,21,3,14
2020/10/31,333,386,44,23,3,16
2020/11/1,356,245,36,28,3,15
2020/11/2,240,304,39,38,4,17
2020/11/3,241,554,23,44,4,19
2020/11/4,434,405,44,34,3,16
2020/11/5,370,392,41,32,3,14
2020/11/6,360,466,52,29,2,16
2020/11/7,395,567,51,35,3,18
2020/11/8,462,695,46,37,2,23
2020/11/9,563,680,51,43,6,25
2020/11/10,600,296,32,31,6,17
2020/11/11,256,275,30,36,6,18
2020/11/12,245,335,43,31,5,20
2020/11/13,327,601,42,29,5,24
2020/11/14,499,337,37,24,5,17
2020/11/15,337,95,22,16,3,13
2020/11/16,156,101,27,16,3,13
2020/11/17,163,150,38,22,2,16
2020/11/18,201,205,42,29,5,16
2020/11/19,227,156,40,22,4,13
2020/11/20,220,149,37,21,4,14
2020/11/21,197,183,39,23,5,17
2020/11/22,235,269,34,39,8,22
2020/11/23,263,433,53,48,9,24
2020/11/24,335,416,25,33,9,19
2020/11/25,374,117,24,15,8,11
2020/11/26,149,110,24,22,3,12
2020/11/27,152,132,32,22,3,13
2020/11/28,189,198,40,29,5,16
2020/11/29,246,267,39,36,5,20
2020/11/30,296,290,44,39,5,19
2020/12/1,308,232,42,33,5,18
2020/12/2,261,316,41,36,5,23
2020/12/3,299,530,68,50,7,26
2020/12/4,414,397,37,37,5,19
2020/12/5,355,355,42,31,4,19
2020/12/6,353,268,31,25,2,20
2020/12/7,315,332,35,32,6,21
2020/12/8,314,305,32,33,7,17
2020/12/9,263,179,21,24,4,13
2020/12/10,192,257,18,37,4,13
2020/12/11,224,272,7,21,1,12
2020/12/12,293,110,14,10,1,7
2020/12/13,177,100,21,9,3,5
2020/12/14,165,127,21,14,6,8
2020/12/15,179,125,18,13,6,8
2020/12/16,174,146,19,12,6,12
2020/12/17,195,156,29,20,1,10
2020/12/18,192,155,32,21,2,9
2020/12/19,193,221,32,25,3,11
2020/12/20,237,241,26,30,7,12
2020/12/21,239,436,27,32,7,19
2020/12/22,341,412,28,31,2,17
2020/12/23,333,319,27,27,2,14
2020/12/24,291,209,30,26,2,10
2020/12/25,221,332,24,32,2,16
2020/12/26,297,342,21,29,4,12
2020/12/27,266,208,22,19,2,8
2020/12/28,179,190,26,19,2,11
2020/12/29,190,168,15,15,1,10
2020/12/30,219,231,12,19,1,15
2020/12/31,288,302,12,21,2,19
2021/1/1,359,395,10,27,3,18
2021/1/2,414,177,7,18,3,10
2021/1/3,236,93,8,15,2,9
2021/1/4,162,78,6,13,2,9
2021/1/5,140,119,7,13,2,10
2021/1/6,192,114,12,8,1,7
2021/1/7,180,138,10,12,7,8
2021/1/8,193,129,10,9,3,8
2021/1/9,190,113,16,7,3,10
2021/1/10,182,116,17,10,3,11
2021/1/11,187,160,14,14,1,13
2021/1/12,223,221,20,15,2,15
2021/1/13,261,361,16,25,4,17
2021/1/14,337,451,30,26,4,20
2021/1/15,417,161,11,12,1,22
2021/1/16,239,190,16,16,2,12
2021/1/17,257,277,15,19,4,17
2021/1/18,291,204,13,12,1,11
2021/1/19,243,127,16,9,1,10
2021/1/20,190,169,28,14,1,14
2021/1/21,205,237,8,18,2,14
2021/1/22,275,174,16,23,2,10
2021/1/23,214,228,5,14,2,5
2021/1/24,245,169,17,10,1,8
2021/1/25,198,185,39,12,3,5
2021/1/26,225,254,30,23,6,13
2021/1/27,220,427,24,25,9,13
2021/1/28,310,220,28,19,5,7
2021/1/29,238,227,23,27,7,10
2021/1/30,277,310,39,24,6,12
2021/1/31,283,344,47,32,9,17
2021/2/1,304,362,40,30,12,7
2021/2/2,305,241,28,25,6,8
2021/2/3,274,159,19,13,5,7
2021/2/4,211,106,23,14,5,5
2021/2/5,160,129,25,14,7,5
2021/2/6,192,158,29,15,6,8
2021/2/7,220,244,33,24,8,12
2021/2/8,273,261,17,29,14,12
2021/2/9,226,295,43,31,9,16
2021/2/10,275,251,30,23,8,10
2021/2/11,269,302,26,21,8,14
2021/2/12,305,215,157,20,4,17
2021/2/13,248,317,44,23,5,13
2021/2/14,260,253,33,26,6,15
2021/2/15,261,274,40,26,8,15
2021/2/16,251,233,31,23,7,13
2021/2/17,231,242,35,25,6,21
2021/2/18,235,214,16,21,5,11
2021/2/19,238,149,22,17,5,11
2021/2/20,197,259,30,20,10,12
2021/2/21,274,267,26,19,12,11
2021/2/22,265,214,32,23,12,14
2021/2/23,215,275,38,20,16,6
2021/2/24,239,290,26,21,15,10
2021/2/25,265,207,27,13,9,11
2021/2/26,209,221,11,10,3,9
2021/2/27,168,172,15,9,3,7
2021/2/28,160,153,15,8,2,8
2021/3/1,156,146,15,4,3,7
2021/3/2,163,201,17,10,5,10
2021/3/3,197,325,32,15,5,12
2021/3/4,234,198,18,7,4,7
2021/3/5,202,161,18,5,4,7
2021/3/6,219,257,23,12,4,12
2021/3/7,216,187,16,9,3,9
2021/3/8,188,267,21,9,3,10
2021/3/9,217,157,17,10,4,8
2021/3/10,160,225,19,13,4,10
2021/3/11,184,234,22,16,5,9
2021/3/12,177,169,4,23,12,14
2021/3/13,178,,,,,
